id,name,rarity,type,nation,icon_url
500,비버즈 휘장,SSR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/500.webp
520,진주의 눈물,SSR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/520.webp
540,냥냥펀치,SSR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/540.webp
560,「닝하이」 수상기,SR,기타,ROC,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/560.webp
580,91식 철갑탄,SR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/580.webp
600,1식 철갑탄,SSR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/600.webp
620,초중량탄 (SHS),SSR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/620.webp
640,수호의 깃발,UR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/640.webp
660,100/150호 항공 연료,SR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/660.webp
680,호밍 비컨,SR,기타,HMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/680.webp
700,98식 발포지연장치,SR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/700.webp
720,약속의 증명,SSR,기타,KMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/720.webp
740,FI-282 헬리콥터,SR,헬리콥터 ,KMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/740.webp
760,정찰 보고·뉴욕 근해,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/760.webp
780,기밀 문서·극지 해협,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/780.webp
800,강화 내압각 설계안,SR,기타,KMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/800.webp
820,개척자 휘장,SSR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/820.webp
840,엘리트 응급 수리(유니온),SSR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/840.webp
860,워싱턴 해군 조약,SSR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/860.webp
880,넬슨의 수기 신호,SSR,기타,HMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/880.webp
940,작전 보고: AF,SR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/940.webp
960,FuMO 25,SSR,기타,KMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/960.webp
980,기밀 문서·일지 잔본,SR,기타,SN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/980.webp
1000,함정 수리설비,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1000.webp
1020,함정 수리설비,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1000.webp
1040,함정 수리설비,SSR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1000.webp
1060,6CRH 철갑탄,SSR,기타,HMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1060.webp
1100,대공 레이더,N,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1100.webp
1120,대공 레이더,R,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1100.webp
1140,대공 레이더,SR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1100.webp
1160,고성능 대공 레이더,SSR,기타,HMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1160.webp
1200,화기 관제 레이더,N,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1200.webp
1220,화기 관제 레이더,R,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1200.webp
1240,화기 관제 레이더,SR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1200.webp
1260,고성능 사격 제어 레이더,SSR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1260.webp
1300,방뢰 벌지,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1300.webp
1320,방뢰 벌지,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1300.webp
1340,방뢰 벌지,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1300.webp
1400,유압식 캐터펄트,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1400.webp
1420,유압식 캐터펄트,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1400.webp
1440,유압식 캐터펄트,SSR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1400.webp
1500,SG 레이더,R,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1500.webp
1520,SG 레이더,SR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1500.webp
1540,SG 레이더,SSR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1500.webp
1620,전동식 양탄기,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1600.webp
1640,전동식 양탄기,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1600.webp
1720,유압식 조타장치,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1700.webp
1740,유압식 조타장치,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1700.webp
1760,강화 유압식 조타장치,SSR,기타,USS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1760.webp
1800,개량형 보일러,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1800.webp
1820,개량형 보일러,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1800.webp
1840,개량형 보일러,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1800.webp
1920,위장 도색,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1900.webp
1940,위장 도색,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1900.webp
1960,마리니에르 혼,SR,기타,SN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/1960.webp
2000,연료 필터,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2000.webp
2020,연료 필터,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2000.webp
2040,연료 필터,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2000.webp
2100,외부 연료탱크,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2100.webp
2120,외부 연료탱크,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2100.webp
2140,외부 연료탱크,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2100.webp
2200,자동 장전장치,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2200.webp
2220,자동 장전장치,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2200.webp
2240,자동 장전장치,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2200.webp
2300,자이로스코프,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2300.webp
2320,자이로스코프,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2300.webp
2340,자이로스코프,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2300.webp
2400,응급 수리 장비,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2400.webp
2420,응급 수리 장비,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2400.webp
2440,응급 수리 장비,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2400.webp
2520,소화장치,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2500.webp
2540,소화장치,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2500.webp
2600,93식 산소어뢰,SR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2600.webp
2620,93식 산소어뢰,SSR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2600.webp
2640,93식 산소어뢰,UR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2600.webp
2700,533mm 자기 어뢰,R,기타,KMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2700.webp
2720,533mm 자기 어뢰,SR,기타,KMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2700.webp
2740,533mm 자기 어뢰,SSR,기타,KMS,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2700.webp
2800,94식 고사 장치,SR,기타,IJN,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2800.webp
2900,기본형 소나,N,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2900.webp
2920,기본형 소나,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2900.webp
2940,기본형 소나,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/2900.webp
3000,개량형 소나,R,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/3000.webp
3020,개량형 소나,SR,기타,UNIV,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/equips/3000.webp
