id,shipgirl,skin,tag,category,shipyard_url
100000,범용형 부린,범용형 부린,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/100000.webp
100001,범용형 부린,범용형 강화 장비(업무용),X,기타,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/100001.webp
100002,범용형 부린,변신! 마법소녀 ★ 부린!,배경,동화 속 세계,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/100002.webp
100010,시제형 부린 MKⅡ,시제형 부린 MKⅡ,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/100010.webp
100011,시제형 부린 MKⅡ,시제형 첨단 장비(촬영용),X,기타,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/100011.webp
100020,특장형 부린 MKIII,특장형 부린 MKIII,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/100020.webp
100021,특장형 부린 MKIII,정의의 대행자 푸링★,배경,기타,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/100021.webp
101020,듀이,듀이,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101020.webp
101021,듀이,여름의 동경,배경,수영복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101021.webp
101022,듀이,겨울밤의 감사,특수배경 (움짤),크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101022.webp
101030,캐신,캐신,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101030.webp
101031,캐신,쇼핑 카트 아씨,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101031.webp
101039,캐신,캐신·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101039.webp
101040,다운즈,다운즈,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101040.webp
101041,다운즈,파트 타임 봄버,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101041.webp
101049,다운즈,다운즈·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101049.webp
101050,그리들리,그리들리,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101050.webp
101051,그리들리,성야의 촬영회!,배경,크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101051.webp
101060,크레이븐,크레이븐,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101060.webp
101061,크레이븐,장외의 치어리더,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101061.webp
101070,맥콜,맥콜,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101070.webp
101080,모리,모리,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101080.webp
101089,모리,모리·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101089.webp
101090,플레처,플레처,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101090.webp
101100,윌리엄 D 포터,윌리엄 D 포터,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101100.webp
101101,윌리엄 D 포터,전대미문의 메이드 서비스,"중파 일러, 배경",메이드 타임,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101101.webp
101110,찰스 오스본,찰스 오스본,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101110.webp
101119,찰스 오스본,찰스 오스본•改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101119.webp
101120,대처,대처,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101120.webp
101130,얼릭,얼릭,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101130.webp
101140,푸트,푸트,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101140.webp
101150,스펜스,스펜스,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101150.webp
101160,벤슨,벤슨,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101160.webp
101161,벤슨,핼러윈 토끼 미소녀!,배경,할로윈,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101161.webp
101170,라피,라피,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101170.webp
101172,라피,눈토끼와 사과 사탕,배경,정월,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101172.webp
101173,라피,봄을 기다리는 토끼,"L2D, 배경",이스트 글림 스타일,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101173.webp
101174,라피,토끼 직원?,X,기타,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101174.webp
101175,라피,피크닉 해프닝?,배경,사복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101175.webp
101176,라피,토끼 아이돌・나른나른,특수배경 (움짤),Live,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101176.webp
101177,라피,대청소의 시작과 끝,배경,홈웨어,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101177.webp
101178,라피,토끼와 서약,X,서약,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101178.webp
101179,라피,라피·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101179.webp
101240,심즈,심즈,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101240.webp
101249,심즈,심즈·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101249.webp
101250,허먼,허먼,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101250.webp
101251,허먼,새침데기 섬머,배경,수영복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101251.webp
101252,허먼,무도회의 새침한 요정,특수배경 (움짤),파티,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101252.webp
101253,허먼,냥냥 아이돌 펀치!,특수배경 (움짤),Live,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101253.webp
101254,허먼,성야의 서프라이즈!,특수배경 (움짤),크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101254.webp
101255,허먼,Blushing Fellow,배경,극속광열,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101255.webp
101259,허먼,허먼·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101259.webp
101260,엘드릿지,엘드릿지,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101260.webp
101261,엘드릿지,성야의 포옹,배경,크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101261.webp
101262,엘드릿지,빈 교실의 불가사의,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101262.webp
101263,엘드릿지,정월의 손길,"L2D, 배경",정월,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101263.webp
101264,엘드릿지,냥냥 아이돌?,"L2D, 특수배경 (움짤)",Live,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101264.webp
101265,엘드릿지,우주 추석,X,기타,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101265.webp
101266,엘드릿지,오늘도 착한 아이의 방과후,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101266.webp
101268,엘드릿지,한낮의 포레스트 채플,X,서약,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101268.webp
101269,엘드릿지,엘드릿지·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101269.webp
101270,베일리,베일리,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101270.webp
101271,베일리,장난스러운 베일리,X,할로윈,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101271.webp
101272,베일리,토끼토끼 산타!,특수배경 (움짤),크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101272.webp
101279,베일리,베일리·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101279.webp
101290,래드포드,래드포드,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101290.webp
101291,래드포드,Candy Magic！,배경,할로윈,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101291.webp
101300,젠킨스,젠킨스,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101300.webp
101301,젠킨스,별빛과 흰눈의 이브,특수배경 (움짤),크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101301.webp
101310,니콜라스,니콜라스,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101310.webp
101311,니콜라스,니콜너스,X,병원,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101311.webp
101312,니콜라스,미스 패키징?,배경,크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101312.webp
101313,니콜라스,여름 청소 운동,배경,수영복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101313.webp
101314,니콜라스,방과후의 서프라이즈?,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101314.webp
101319,니콜라스,니콜라스·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101319.webp
101330,부시,부시,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101330.webp
101331,부시,꼬마 화가,X,기타,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101331.webp
101340,헤이즐우드,헤이즐우드,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101340.webp
101350,배시,배시,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101350.webp
101351,배시,럭셔리 스피드 스타,배경,사복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101351.webp
101352,배시,눈부신 경기장의 별,특수배경 (움짤),스포츠,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101352.webp
101360,하비,하비,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101360.webp
101361,하비,리틀 스쿨 스타,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101361.webp
101370,커크,커크,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101370.webp
101371,커크,학원의 눈꽃 요정,배경,학교,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101371.webp
101380,킴벌리,킴벌리,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101380.webp
101382,킴벌리,안양의 이문화 공부,배경,이스트 글림 스타일,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101382.webp
101390,멀라니,멀라니,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101390.webp
101392,멀라니,칭양의 요리 특훈,배경,이스트 글림 스타일,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101392.webp
101400,아일윈,아일윈,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101400.webp
101401,아일윈,일요일의 아쿠아리움,X,사복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101401.webp
101410,스탠리,스탠리,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101410.webp
101420,스몰리,스몰리,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101420.webp
101421,스몰리,위치 딜리버리,배경,할로윈,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101421.webp
101430,할시 파웰,할시 파웰,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101430.webp
101431,할시 파웰,새해의 럭키스타!,특수배경 (움짤),이스트 글림 스타일,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101431.webp
101440,쿠퍼,쿠퍼,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101440.webp
101441,쿠퍼,뜨거운 테니스장,"L2D, 특수배경 (움짤)",스포츠,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101441.webp
101442,쿠퍼,성야의 따뜻한 선물,배경,크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101442.webp
101450,알렌 M. 섬너,알렌 M. 섬너,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101450.webp
101451,알렌 M. 섬너,Charming Rabbit,"L2D, 배경",카니발,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101451.webp
101452,알렌 M. 섬너,트윈 페이스 미스틱,"배경, 쁘띠모션",특수 훈련,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101452.webp
101460,스테판 포터,스테판 포터,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101460.webp
101461,스테판 포터,느긋한 핑크 바니,배경,카니발,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101461.webp
101470,모리슨,모리슨,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101470.webp
101471,모리슨,Sleeping Bunny,배경,카니발,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101471.webp
101472,모리슨,하이테크? 인술?,"중파 일러, 배경",닌자의 성,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101472.webp
101480,잉그레이엄,잉그레이엄,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101480.webp
101481,잉그레이엄,음료 연구원?,배경,카니발,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101481.webp
101490,브리스톨,브리스톨,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101490.webp
101491,브리스톨,이스트 글림의 괴담,특수배경 (움짤),이스트 글림 스타일,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101491.webp
101492,브리스톨,토플리스 인베스티게이터,배경,할로윈,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101492.webp
101500,허먼Ⅱ,허먼Ⅱ,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101500.webp
101501,허먼Ⅱ,다시 찾아온 여름의 전쟁,배경,수영복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101501.webp
101502,허먼Ⅱ,허먼의 맛있는 마법,배경,메이드 타임,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101502.webp
101510,라피Ⅱ,라피Ⅱ,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101510.webp
101511,라피Ⅱ,꾸벅꾸벅 바쁜 날,"L2D, 배경",카니발,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101511.webp
101512,라피Ⅱ,토끼토끼성 성주의 순찰 휴식,"쁘띠모션, 배경",여름 축제,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101512.webp
101520,벨,벨,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101520.webp
101521,벨,살룬 엑시던트,배경,웨스턴,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101521.webp
101530,밀러,밀러,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101530.webp
101531,밀러,괴인 실험체 M01,배경,병원,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101531.webp
101550,클래런스 K 브론슨,클래런스 K 브론슨,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101550.webp
101551,클래런스 K 브론슨,스페셜 커넥션?,배경,메이드 타임,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/101551.webp
102010,오마하,오마하,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102010.webp
102020,롤리,롤리,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102020.webp
102030,브루클린,브루클린,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102030.webp
102040,피닉스,피닉스,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102040.webp
102050,헬레나,헬레나,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102050.webp
102051,헬레나,파랑새의 정월,배경,정월,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102051.webp
102052,헬레나,지휘관과의 춤,배경,파티,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102052.webp
102053,헬레나,광휘의 트라이앵글 웨이브,"L2D, 배경",수영복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102053.webp
102054,헬레나,편백욕조와 따뜻한 시간,"쁘띠모션, 배경",온천 타임,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102054.webp
102058,헬레나,순백의 기적,X,서약,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102058.webp
102059,헬레나,헬레나·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102059.webp
102060,애틀란타,애틀란타,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102060.webp
102070,쥬노,쥬노,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102070.webp
102071,쥬노,백조의 화원으로,특수배경 (움짤),파티,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102071.webp
102079,쥬노,쥬노·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102079.webp
102080,샌디에이고,샌디에이고,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102080.webp
102081,샌디에이고,메리 크리디에이고!,배경,크리스마스,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102081.webp
102088,샌디에이고,June Bride No.1！,X,서약,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102088.webp
102089,샌디에이고,샌디에이고·改,X,개조,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102089.webp
102090,클리블랜드,클리블랜드,X,,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102090.webp
102091,클리블랜드,데빌 피버,X,할로윈,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102091.webp
102092,클리블랜드,비스티 나이트,"L2D, 배경",파티,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102092.webp
102093,클리블랜드,Road·Traveler,배경,사복,https://raw.githubusercontent.com/JforPlay/data_for_toy/main/skin_shipyard/102093.webp
