id,reason,name,image_url,아이웨어,자세,방향,강조부위,머리색,머리 다중색,눈색,수인특징
101020,충돌,듀이,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101020%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,보라,단색,금색,없음
101021,충돌,여름의 동경,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101021%2Fpainting.png,없음,엎드리기,후면,발바닥,보라,단색,금색,없음
101022,충돌,겨울밤의 감사,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101022%2Fpainting.png,없음,앉기·무릎꿇기,정면,없음,보라,단색,금색,동물귀
101030,충돌,캐신,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101030%2Fpainting.png,없음,서기,정면,없음,흑발,단색,오드아이,없음
101031,충돌,쇼핑 카트 아씨,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101031%2Fpainting.png,없음,앉기·무릎꿇기,정면,발바닥,보라,단색,오드아이,없음
101039,충돌,캐신·改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101039%2Fpainting.png,없음,앉기·무릎꿇기,정면,발바닥,보라,그라데이션,금색,없음
101040,충돌,다운즈,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101040%2Fpainting.png,없음,서기,정면,없음,은발·백발,단색,적색,없음
101041,충돌,파트 타임 봄버,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101041%2Fpainting.png,없음,앉기·무릎꿇기,후면,없음,은발·백발,단색,금색,없음
101049,충돌,다운즈·改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101049%2Fpainting.png,없음,서기,정면,없음,은발·백발,브릿지,적색,없음
101110,충돌,찰스 오스본,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101110%2Fpainting.png,없음,서기,정면,없음,금발,그라데이션,보라,없음
101119,충돌,찰스 오스본•改,https://wsrv.nl/?w=400&output=jpg&bg=white&url=https%3A%2F%2Fraw.githubusercontent.com%2FJforPlay%2Fdata_for_toy%2Fmain%2Foutput_expressions%2F101119%2Fpainting.png,없음,서기,정면,없음,금발,단색,보라,없음
