클뜯 id,아이웨어,자세,방향,강조부위,머리색,머리 다중색,눈색,수인특징
100000,없음,기타,정면,없음,은발·백발,단색,,없음
100001,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,청색,"꼬리, 뿔"
100002,없음,기타,정면,없음,은발·백발,단색,청색,없음
100010,없음,서기,정면,없음,금발,단색,,없음
100011,고글,기타,정면,없음,금발,단색,적색,없음
100020,없음,기타,정면,없음,분홍,단색,녹색,없음
100021,없음,서기,후면,엉덩이,분홍,그라데이션,녹색,없음
101020,없음,앉기·무릎꿇기,정면,없음,보라,단색,금색,없음
101021,없음,엎드리기,후면,엉덩이,보라,단색,금색,없음
101022,없음,앉기·무릎꿇기,정면,없음,보라,단색,금색,동물귀
101030,없음,서기,정면,없음,흑발,단색,오드아이,없음
101031,없음,앉기·무릎꿇기,정면,없음,보라,단색,오드아이,없음
101039,없음,앉기·무릎꿇기,정면,없음,보라,그라데이션,금색,없음
101040,없음,서기,정면,없음,은발·백발,단색,적색,없음
101041,없음,앉기·무릎꿇기,후면,없음,은발·백발,단색,금색,없음
101049,없음,기타,정면,없음,은발·백발,브릿지,적색,없음
101050,없음,서기,정면,없음,금발,단색,청색,없음
101051,없음,앉기·무릎꿇기,정면,없음,금발,단색,청색,없음
101060,없음,서기,정면,없음,분홍,단색,금색,없음
101061,없음,서기,정면,없음,분홍,단색,금색,없음
101070,없음,앉기·무릎꿇기,정면,없음,분홍,단색,청색,없음
101080,없음,서기,정면,없음,금발,단색,금색,없음
101089,없음,서기,정면,다리·발,금발,단색,금색,없음
101090,안경,앉기·무릎꿇기,정면,없음,적발,단색,금색,없음
101100,없음,기타,정면,없음,금발,단색,보라,없음
101101,없음,서기,정면,없음,금발,단색,보라,없음
101110,없음,서기,정면,없음,금발,그라데이션,보라,없음
101119,없음,서기,정면,없음,금발,단색,보라,없음
101120,없음,서기,정면,없음,은발·백발,단색,갈색,없음
101130,없음,서기,후면,없음,적발,단색,녹색,없음
101140,없음,앉기·무릎꿇기,정면,없음,녹발,단색,금색,없음
101150,없음,서기,정면,없음,분홍,단색,금색,없음
101160,없음,서기,정면,없음,금발,단색,갈색,동물귀
101161,없음,서기,후면,없음,금발,단색,금색,동물귀
101170,없음,서기,정면,없음,은발·백발,단색,적색,없음
101172,없음,서기,정면,없음,은발·백발,단색,적색,없음
101173,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,동물귀
101174,없음,서기,정면,없음,은발·백발,단색,적색,없음
101175,없음,앉기·무릎꿇기,정면,없음,보라,단색,분홍,동물귀
101176,없음,서기,정면,없음,은발·백발,단색,적색,없음
101177,없음,눕기,정면,없음,은발·백발,단색,적색,없음
101178,없음,서기,정면,없음,은발·백발,단색,적색,동물귀
101179,없음,기타,정면,없음,은발·백발,단색,적색,없음
101240,없음,서기,정면,없음,은발·백발,단색,녹색,동물귀
101249,없음,서기,정면,없음,은발·백발,단색,녹색,동물귀
101250,없음,서기,정면,없음,은발·백발,단색,청색,"동물귀, 꼬리"
101251,없음,서기,정면,없음,은발·백발,단색,청색,동물귀
101252,없음,서기,정면,없음,은발·백발,단색,청색,없음
101253,없음,서기,정면,없음,은발·백발,단색,청색,"동물귀, 꼬리"
101254,없음,눕기,정면,없음,은발·백발,단색,청색,없음
101255,없음,서기,후면,없음,은발·백발,단색,녹색,없음
101259,없음,서기,정면,없음,은발·백발,단색,청색,동물귀
101260,없음,앉기·무릎꿇기,정면,없음,금발,단색,적색,없음
101261,없음,앉기·무릎꿇기,정면,없음,금발,단색,분홍,없음
101262,없음,앉기·무릎꿇기,정면,없음,금발,단색,분홍,없음
101263,안경,서기,정면,없음,금발,단색,분홍,없음
101264,없음,서기,정면,없음,금발,단색,분홍,"동물귀, 꼬리"
101265,없음,기타,정면,없음,금발,단색,분홍,없음
101266,없음,서기,정면,없음,금발,단색,적색,없음
101268,없음,눕기,정면,없음,금발,단색,보라,없음
101269,없음,서기,정면,없음,금발,단색,적색,없음
101270,없음,서기,정면,없음,적발,단색,적색,없음
101271,없음,기타,정면,없음,적발,단색,적색,없음
101272,없음,서기,후면,없음,적발,단색,갈색,없음
101279,없음,기타,정면,없음,적발,단색,적색,없음
101290,없음,서기,정면,없음,분홍,단색,청색,없음
101291,없음,서기,후면,없음,분홍,단색,청색,동물귀
101300,없음,서기,정면,없음,금발,단색,적색,없음
101301,없음,거꾸로,정면,없음,금발,단색,금색,없음
101310,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,없음
101311,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,오드아이,없음
101312,없음,눕기,정면,없음,은발·백발,단색,오드아이,없음
101313,없음,서기,후면,엉덩이,은발·백발,단색,오드아이,없음
101314,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,오드아이,없음
101319,없음,서기,정면,없음,은발·백발,단색,오드아이,없음
101330,없음,앉기·무릎꿇기,정면,다리·발,보라,단색,보라,없음
101331,없음,앉기·무릎꿇기,후면,없음,보라,단색,보라,없음
101340,없음,앉기·무릎꿇기,후면,없음,보라,단색,분홍,없음
101350,없음,서기,정면,다리·발,금발,단색,보라,없음
101351,선글라스,앉기·무릎꿇기,정면,없음,금발,단색,보라,없음
101352,고글,서기,정면,없음,금발,단색,금색,없음
101360,없음,기타,정면,없음,은발·백발,단색,분홍,없음
101361,없음,서기,정면,없음,은발·백발,그라데이션,보라,동물귀
101370,없음,서기,정면,없음,금발,브릿지,청색,없음
101371,없음,눕기,정면,없음,금발,그라데이션,청색,없음
101380,없음,앉기·무릎꿇기,정면,다리·발,갈색,단색,적색,없음
101382,없음,앉기·무릎꿇기,정면,없음,갈색,단색,적색,없음
101390,없음,기타,정면,없음,보라,단색,금색,없음
101392,없음,앉기·무릎꿇기,정면,없음,보라,단색,금색,없음
101400,없음,서기,후면,엉덩이,분홍,단색,적색,없음
101401,없음,서기,정면,없음,분홍,그라데이션,적색,없음
101410,없음,기타,정면,없음,분홍,단색,보라,없음
101420,없음,기타,정면,다리·발,금발,단색,청색,없음
101421,없음,기타,정면,없음,금발,단색,청색,"뿔, 날개"
101430,없음,서기,정면,없음,은발·백발,그라데이션,청색,없음
101431,없음,앉기·무릎꿇기,정면,없음,은발·백발,그라데이션,청색,없음
101440,없음,서기,정면,없음,흑발,단색,분홍,없음
101441,없음,기타,정면,가슴,흑발,단색,분홍,없음
101442,없음,앉기·무릎꿇기,후면,없음,흑발,단색,적색,없음
101450,없음,기타,정면,없음,흑발,단색,적색,없음
101451,없음,앉기·무릎꿇기,정면,다리·발,흑발,단색,적색,동물귀
101452,안대,기타,후면,없음,청발,단색,적색,없음
101460,없음,서기,정면,없음,금발,단색,청색,없음
101461,없음,눕기,정면,다리·발,금발,단색,보라,없음
101470,없음,서기,정면,없음,갈색,단색,금색,없음
101471,없음,엎드리기,정면,없음,금발,단색,금색,동물귀
101472,없음,앉기·무릎꿇기,후면,없음,금발,단색,금색,없음
101480,안경,앉기·무릎꿇기,정면,없음,갈색,단색,적색,없음
101481,안경,앉기·무릎꿇기,정면,없음,흑발,단색,적색,없음
101490,없음,서기,정면,없음,흑발,단색,금색,없음
101491,없음,앉기·무릎꿇기,정면,없음,갈색,단색,금색,없음
101492,없음,서기,정면,없음,흑발,브릿지,금색,없음
101500,없음,기타,정면,없음,은발·백발,단색,녹색,없음
101501,없음,앉기·무릎꿇기,정면,다리·발,은발·백발,단색,청색,없음
101502,없음,거꾸로,정면,엉덩이,은발·백발,단색,청색,동물귀
101510,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,없음
101511,없음,서기,정면,없음,은발·백발,단색,적색,동물귀
101512,없음,앉기·무릎꿇기,정면,없음,은발·백발,단색,적색,동물귀
101520,없음,서기,정면,없음,흑발,단색,보라,없음
101521,없음,서기,정면,없음,흑발,단색,은색·회색,없음
101530,없음,서기,정면,없음,은발·백발,단색,적색,뿔
101531,없음,기타,정면,없음,은발·백발,단색,적색,"동물귀, 꼬리"
101550,없음,서기,정면,없음,흑발,단색,청색,없음
101551,없음,눕기,정면,없음,흑발,단색,청색,없음
102010,없음,서기,정면,없음,녹발,단색,금색,없음
102020,안경,서기,정면,없음,갈색,단색,적색,없음
102030,없음,서기,정면,없음,금발,그라데이션,분홍,없음
102040,없음,서기,정면,다리·발,적발,그라데이션,금색,없음
102050,없음,서기,정면,없음,청발,그라데이션,보라,없음
102051,없음,서기,정면,없음,청발,그라데이션,보라,없음
102052,없음,서기,정면,없음,청발,그라데이션,보라,없음
102053,없음,서기,정면,없음,청발,그라데이션,분홍,없음
102054,없음,서기,후면,엉덩이,청발,그라데이션,분홍,없음
102058,없음,서기,정면,없음,청발,그라데이션,보라,없음
102059,없음,기타,정면,없음,청발,그라데이션,보라,없음
102060,없음,앉기·무릎꿇기,정면,없음,분홍,단색,청색,없음
102070,없음,앉기·무릎꿇기,정면,다리·발,금발,단색,적색,없음
102071,없음,앉기·무릎꿇기,정면,없음,금발,단색,갈색,없음
102079,없음,기타,정면,없음,금발,단색,갈색,없음
102080,없음,기타,정면,없음,분홍,단색,청색,없음
102081,없음,서기,정면,없음,적발,단색,청색,없음
102088,없음,서기,후면,다리·발,적발,단색,청색,없음
102089,없음,서기,정면,없음,적발,단색,청색,없음
102090,없음,서기,정면,없음,금발,단색,적색,없음
